word,word_type,pos,pronunciation,english_title,brief_meaning,excluded_meaning,example,spacing_allowed,difficulty,culture_tags,priority,reason
정,word,명사,Jeong,Affection / Attachment,사람이나 대상에 애착이 생긴 마음,부사 의미(정 그렇다면) 제외,이 동네에 오래 살아 정이 들었어.,true,intermediate,관계|감정|애착,1,사람이나 대상에 애착이 생긴 마음
서운하다,word,형용사,Seounhada,Disappointed / Hurt,기대와 다르게 되어 아쉬운 감정,-,연락 한 통 없어서 내심 서운했어.,true,intermediate,감정|관계|기대,2,기대와 다르게 되어 아쉬운 감정
인연,word,명사,Inyeon,Fate / Connection,사람들 사이에 맺어지는 관계,-,우리가 여기서 다시 만나다니 보통 인연이 아니네.,true,intermediate,관계|만남|운명,3,사람들 사이에 맺어지는 관계
의리,word,명사,Uiri,Loyalty / Fidelity,사람으로서 지켜야 할 도리,-,친구 사이에 의리를 저버릴 수는 없지.,true,intermediate,관계|신뢰|도리,4,사람으로서 지켜야 할 도리
효,word,명사,Hyo,Filial Piety,부모를 잘 모시고 받드는 일,-,부모님께 효를 다하는 것이 자식의 도리이다.,true,advanced,가족|예절|전통,5,부모를 잘 모시고 받드는 일
한,word,명사,Han,Deep Sorrow / Resentment,억울함과 슬픔이 오래 응어리진 마음,"수 관형사 '한(하나)' 제외",가슴 깊은 곳에 한이 맺혔어.,true,advanced,감정|역사|응어리,6,억울함과 슬픔이 오래 응어리진 마음
체면,word,명사,Chemyeon,Face / Dignity,사회적으로 지키려는 얼굴과 입장,-,그 일로 사람들 앞에서 체면이 깎였어.,true,advanced,사회생활|예절|이미지,7,사회적으로 지키려는 얼굴과 입장
배려,word,명사,Baeryeo,Consideration / Care,상대를 도와주거나 보살피는 태도,-,약자를 먼저 생각하는 배려가 돋보인다.,true,intermediate,관계|배려|공동체,8,상대를 도와주거나 보살피는 태도
겸손,word,명사,Gyeomson,Modesty / Humility,자기를 낮추고 남을 존중하는 태도,-,그는 실력이 뛰어나면서도 늘 겸손하다.,true,intermediate,태도|존중|예절,9,자기를 낮추고 남을 존중하는 태도
소신,word,명사,Sosin,Conviction / Belief,굳게 믿는 생각,작은 몸을 뜻하는 한자어 제외,주변의 반대에도 자신의 소신을 굽히지 않았다.,true,advanced,가치관|원칙|태도,10,굳게 믿는 생각
