word,word_type,pos,difficulty,culture_tags,priority,reason
정,word,명사,intermediate,관계|감정|시간,1,한국 문화에서 인간관계와 시간의 축적을 설명하는 대표 정서어
눈치,word,명사,intermediate,관계|상황판단|사회생활,2,상대의 마음과 상황을 읽는 한국어 대화 문화와 연결된 표현
서운하다,word,형용사,intermediate,감정|관계|기대,3,관계 속 기대가 충족되지 않았을 때 느끼는 감정을 나타내는 표현
인연,word,명사,intermediate,관계|운명|만남,4,사람 간 만남을 우연 이상의 의미로 설명하는 문화어휘
의리,word,명사,intermediate,관계|신뢰|책임,5,친구나 공동체 관계에서 신뢰와 책임을 나타내는 표현
효,word,명사,advanced,가족|예절|전통,6,부모와 가족 관계를 설명하는 전통적 가치어
한,word,명사,advanced,감정|역사|문화,7,억울함과 슬픔이 오래 쌓인 정서를 설명하는 문화어휘
체면,word,명사,advanced,사회생활|이미지|예절,8,사회적 이미지와 관계 유지 맥락을 설명하는 표현
배려,word,명사,intermediate,관계|예절|공동체,9,상대방을 고려하는 말하기 방식과 연결되는 표현
겸손,word,명사,intermediate,태도|예절|관계,10,자기표현을 낮추고 상대를 존중하는 말하기 문화와 연결된 표현
소신,word,명사,advanced,가치관|태도|자기표현,11,자기 의견과 원칙을 지키는 태도를 나타내는 표현
낭만,word,명사,intermediate,감정|분위기|문화,12,단순한 romance보다 분위기와 감성을 함께 담는 표현
충,word,명사,advanced,전통|가치|공동체,13,전통적 가치관과 역사적 맥락을 설명하는 문화어휘
권선징악,word,명사,advanced,도덕|이야기|문화,14,이야기와 콘텐츠에서 선악 구도를 설명하는 사자성어
출세,word,명사,intermediate,사회|성공|가치관,15,사회적 성공과 지위 상승을 나타내는 표현
궁합,word,명사,intermediate,관계|조화|문화,16,사람 관계뿐 아니라 음식과 조합에도 쓰이는 확장성 있는 표현
억울하다,word,형용사,intermediate,감정|갈등|공정성,17,부당하거나 공정하지 않다고 느낄 때 쓰이는 표현
아쉽다,word,형용사,intermediate,감정|기대|상황,18,부족함이나 미련이 남는 상황을 표현하는 말
섭섭하다,word,형용사,intermediate,감정|관계|기대,19,기대와 관계 속 아쉬움을 나타내는 표현
민망하다,word,형용사,intermediate,감정|체면|사회상황,20,사회적 상황에서 어색하거나 부끄러운 감정을 나타내는 표현
무안하다,word,형용사,intermediate,감정|체면|관계,21,체면이 손상되거나 부끄러운 상황에서 쓰이는 표현
답답하다,word,형용사,intermediate,감정|상황|소통,22,상황이 풀리지 않거나 마음이 막힌 느낌을 표현하는 말
야속하다,word,형용사,advanced,감정|관계|실망,23,상대가 매정하거나 기대에 어긋났다고 느낄 때 쓰는 표현
그립다,word,형용사,intermediate,감정|기억|관계,24,사람이나 장소를 보고 싶어하는 감정을 나타내는 표현
애틋하다,word,형용사,advanced,감정|관계|기억,25,그리움과 소중함이 섞인 감정을 표현하는 말
정겹다,word,형용사,advanced,감정|분위기|관계,26,따뜻하고 친근한 느낌을 나타내는 표현
괜히,word,부사,intermediate,뉘앙스|감정|구어체,27,명확한 이유 없이 감정이나 행동이 생긴 상황을 표현하는 부사
챙기다,word,동사,intermediate,배려|관계|일상,28,상대나 물건을 세심하게 돌보는 행동을 나타내는 표현
신경 쓰다,expression,동사구,intermediate,관심|배려|부담,29,관심과 배려 또는 부담을 표현하는 실용적 구어 표현
눈치를 보다,expression,동사구,intermediate,상황판단|관계|사회생활,30,상대의 반응이나 분위기를 살피는 한국어 표현
